iter	Passed	Remaining
141	1320	7978
142	1327	7957
143	1336	7943
144	1346	7939
145	1355	7931
146	1364	7915
147	1373	7905
148	1382	7896
149	1392	7891
150	1401	7882
151	1410	7871
152	1421	7867
153	1430	7857
154	1439	7849
155	1448	7839
156	1458	7828
157	1467	7818
158	1475	7801
159	1484	7794
160	1495	7791
161	1504	7779
162	1513	7769
163	1521	7755
164	1531	7752
165	1541	7743
166	1551	7736
167	1559	7721
168	1567	7705
169	1577	7701
170	1587	7693
171	1597	7688
172	1606	7680
173	1616	7674
174	1626	7668
175	1635	7657
176	1645	7650
177	1654	7640
178	1663	7630
179	1672	7617
180	1677	7591
181	1686	7578
182	1695	7569
183	1704	7560
184	1714	7551
185	1723	7541
186	1731	7529
187	1740	7516
188	1749	7506
189	1756	7488
190	1765	7479
191	1773	7464
192	1782	7454
193	1792	7446
194	1801	7437
195	1810	7427
196	1818	7414
197	1827	7401
198	1836	7391
199	1844	7379
200	1854	7370
201	1861	7355
202	1871	7348
203	1880	7339
204	1889	7326
205	1898	7317
206	1904	7296
207	1912	7283
208	1922	7276
209	1931	7267
210	1940	7255
211	1949	7246
212	1959	7239
213	1965	7219
214	1975	7211
215	1985	7205
216	1994	7196
217	2003	7187
218	2012	7178
219	2023	7173
220	2032	7162
221	2040	7151
222	2050	7146
223	2060	7139
224	2069	7128
225	2078	7119
226	2087	7108
227	2097	7100
228	2105	7088
229	2113	7075
230	2121	7063
231	2130	7053
232	2140	7045
233	2148	7034
234	2157	7024
235	2166	7012
236	2174	7002
237	2183	6991
238	2192	6981
239	2202	6973
240	2212	6966
241	2221	6958
242	2225	6931
243	2234	6923
244	2243	6914
245	2253	6905
246	2262	6896
247	2271	6888
248	2280	6878
249	2289	6868
250	2298	6859
251	2307	6848
252	2316	6839
253	2325	6830
254	2334	6820
255	2343	6811
256	2352	6802
257	2362	6793
258	2372	6788
259	2382	6780
260	2391	6770
261	2400	6760
262	2408	6749
263	2417	6740
264	2427	6732
265	2435	6721
266	2445	6712
267	2453	6702
268	2463	6693
269	2471	6681
270	2480	6672
271	2489	6663
272	2497	6651
273	2506	6642
274	2516	6634
275	2525	6624
276	2534	6614
277	2543	6606
278	2553	6597
279	2562	6589
280	2570	6577
281	2579	6568
282	2588	6559
283	2598	6550
284	2606	6540
285	2616	6531
286	2624	6520
287	2634	6512
288	2644	6504
289	2653	6495
290	2661	6485
291	2671	6476
292	2680	6467
293	2686	6450
294	2695	6441
295	2704	6431
296	2714	6424
297	2722	6414
298	2732	6405
299	2740	6394
300	2750	6386
301	2759	6377
302	2768	6369
303	2778	6360
304	2787	6351
305	2795	6340
306	2805	6332
307	2814	6324
308	2823	6315
309	2832	6305
310	2841	6294
311	2851	6287
312	2860	6279
313	2870	6271
314	2880	6262
315	2890	6255
316	2898	6246
317	2907	6235
318	2916	6225
319	2924	6215
320	2934	6206
321	2943	6197
322	2952	6188
323	2961	6179
324	2971	6170
325	2980	6162
326	2990	6154
327	2998	6143
328	3009	6137
329	3018	6128
330	3027	6119
331	3036	6109
332	3043	6096
333	3052	6086
334	3061	6077
335	3070	6067
336	3080	6060
337	3089	6050
338	3097	6038
339	3106	6029
340	3116	6021
341	3125	6013
342	3135	6005
343	3144	5996
344	3153	5987
345	3164	5980
346	3173	5972
347	3183	5964
348	3192	5955
349	3202	5947
350	3211	5938
351	3219	5926
352	3227	5916
353	3237	5908
354	3248	5902
355	3259	5896
356	3270	5891
357	3280	5883
358	3289	5874
359	3298	5864
360	3309	5858
361	3319	5849
362	3327	5838
363	3337	5831
364	3346	5821
365	3355	5811
366	3365	5804
367	3374	5794
368	3383	5785
369	3391	5773
370	3400	5764
371	3409	5755
372	3419	5747
373	3427	5737
374	3436	5727
375	3445	5718
376	3455	5709
377	3465	5702
378	3474	5693
379	3484	5684
380	3493	5675
381	3501	5665
382	3511	5656
383	3520	5648
384	3530	5639
385	3539	5630
386	3549	5622
387	3560	5616
388	3570	5608
389	3578	5597
390	3587	5587
391	3597	5579
392	3606	5570
393	3615	5561
394	3624	5551
395	3635	5544
396	3644	5535
397	3654	5527
398	3663	5518
399	3672	5509
400	3681	5498
401	3690	5490
402	3700	5482
403	3709	5472
404	3718	5463
405	3727	5454
406	3736	5444
407	3746	5435
408	3756	5427
409	3765	5418
410	3773	5408
411	3783	5399
412	3793	5391
413	3801	5380
414	3809	5370
415	3819	5361
416	3830	5354
417	3839	5346
418	3848	5336
419	3858	5328
420	3867	5318
421	3877	5310
422	3886	5301
423	3896	5292
424	3904	5282
425	3913	5273
426	3923	5265
427	3933	5256
428	3942	5248
429	3952	5238
430	3961	5230
431	3972	5223
432	3982	5214
433	3992	5206
434	4000	5196
435	4010	5188
436	4020	5180
437	4030	5171
438	4039	5162
439	4048	5152
440	4058	5144
441	4067	5135
442	4077	5127
443	4086	5117
444	4094	5107
445	4103	5096
446	4113	5088
447	4121	5078
448	4130	5069
449	4140	5060
450	4156	5059
451	4167	5052
452	4175	5042
453	4184	5032
454	4192	5022
455	4202	5013
456	4212	5005
457	4221	4996
458	4231	4987
459	4241	4978
460	4250	4969
461	4259	4960
462	4269	4951
463	4278	4942
464	4288	4933
465	4298	4925
466	4308	4917
467	4318	4909
468	4327	4900
469	4336	4890
470	4346	4881
471	4356	4873
472	4366	4864
473	4375	4855
474	4384	4845
475	4394	4837
476	4405	4830
477	4415	4821
478	4424	4812
479	4433	4803
480	4442	4793
481	4452	4785
482	4461	4775
483	4469	4764
484	4479	4756
485	4487	4746
486	4496	4736
487	4504	4725
488	4513	4716
489	4521	4705
490	4530	4696
491	4539	4687
492	4547	4677
493	4556	4667
494	4565	4657
495	4574	4648
496	4582	4637
497	4590	4627
498	4599	4618
499	4609	4609
500	4618	4600
501	4627	4590
502	4635	4580
503	4644	4570
504	4652	4560
505	4661	4551
506	4672	4543
507	4682	4534
508	4692	4526
509	4701	4517
510	4710	4507
511	4718	4497
512	4728	4489
513	4738	4480
514	4748	4471
515	4759	4463
516	4768	4454
517	4777	4445
518	4785	4435
519	4794	4425
520	4803	4416
521	4812	4407
522	4822	4398
523	4831	4389
524	4840	4379
525	4850	4371
526	4859	4361
527	4869	4352
528	4877	4342
529	4886	4333
530	4895	4323
531	4903	4313
532	4913	4305
533	4922	4295
534	4930	4285
535	4939	4276
536	4948	4266
537	4959	4258
538	4968	4249
539	4977	4240
540	4987	4231
541	4996	4222
542	5005	4212
543	5015	4204
544	5024	4195
545	5034	4186
546	5043	4177
547	5052	4167
548	5061	4158
549	5070	4148
550	5079	4138
551	5088	4129
552	5096	4119
553	5105	4110
554	5114	4100
555	5123	4091
556	5133	4082
557	5142	4073
558	5151	4064
559	5161	4055
560	5171	4047
561	5180	4037
562	5189	4028
563	5197	4018
564	5206	4008
565	5215	3999
566	5225	3990
567	5234	3980
568	5243	3971
569	5252	3962
570	5261	3952
571	5270	3943
572	5279	3934
573	5289	3925
574	5298	3916
575	5308	3907
576	5316	3897
577	5326	3889
578	5335	3879
579	5345	3870
580	5354	3861
581	5363	3852
582	5372	3842
583	5381	3833
584	5391	3824
585	5400	3815
586	5409	3805
587	5418	3796
588	5427	3787
589	5436	3778
590	5444	3768
591	5454	3759
592	5462	3749
593	5471	3739
594	5480	3730
595	5485	3718
596	5493	3708
597	5503	3699
598	5513	3691
599	5522	3681
600	5531	3672
601	5539	3662
602	5550	3653
603	5559	3645
604	5568	3635
605	5577	3626
606	5587	3617
607	5595	3607
608	5605	3598
609	5614	3589
610	5623	3580
611	5633	3571
612	5642	3562
613	5652	3553
614	5662	3544
615	5672	3535
616	5681	3526
617	5691	3517
618	5701	3509
619	5710	3500
620	5715	3488
621	5724	3478
622	5732	3469
623	5742	3460
624	5751	3450
625	5762	3442
626	5772	3434
627	5782	3425
628	5793	3417
629	5802	3408
630	5811	3398
631	5820	3389
632	5830	3380
633	5840	3371
634	5849	3362
635	5859	3353
636	5866	3343
637	5875	3334
638	5885	3324
639	5895	3316
640	5904	3307
641	5913	3297
642	5923	3288
643	5933	3279
644	5942	3270
645	5952	3262
646	5961	3252
647	5970	3243
648	5980	3234
649	5989	3224
650	5999	3216
651	6010	3207
652	6020	3199
653	6028	3189
654	6038	3180
655	6047	3171
656	6057	3162
657	6066	3153
658	6076	3144
659	6085	3134
660	6095	3126
661	6104	3116
662	6113	3107
663	6123	3098
664	6133	3089
665	6142	3080
666	6152	3071
667	6161	3062
668	6171	3053
669	6180	3044
670	6189	3034
671	6199	3025
672	6207	3016
673	6217	3007
674	6226	2998
675	6237	2989
676	6247	2980
677	6256	2971
678	6265	2962
679	6274	2952
680	6284	2943
681	6293	2934
682	6301	2924
683	6311	2915
684	6320	2906
685	6330	2897
686	6339	2888
687	6349	2879
688	6357	2869
689	6367	2860
690	6377	2851
691	6387	2842
692	6395	2833
693	6404	2823
694	6412	2814
695	6422	2805
696	6431	2795
697	6440	2786
698	6449	2777
699	6459	2768
700	6469	2759
701	6477	2749
702	6485	2740
703	6494	2730
704	6503	2721
705	6512	2712
706	6522	2703
707	6531	2693
708	6542	2685
709	6553	2676
710	6560	2666
711	6569	2657
712	6579	2648
713	6589	2639
714	6598	2630
715	6608	2621
716	6617	2612
717	6626	2602
718	6636	2593
719	6646	2584
720	6654	2575
721	6663	2565
722	6672	2556
723	6681	2547
724	6690	2537
725	6699	2528
726	6709	2519
727	6718	2510
728	6727	2501
729	6736	2491
730	6746	2482
731	6755	2473
732	6764	2463
733	6773	2454
734	6781	2445
735	6790	2435
736	6799	2426
737	6808	2417
738	6818	2408
739	6827	2398
740	6836	2389
741	6844	2379
742	6852	2370
743	6862	2361
744	6870	2351
745	6879	2342
746	6889	2333
747	6898	2324
748	6908	2315
749	6917	2305
750	6925	2296
751	6934	2286
752	6945	2278
753	6954	2269
754	6965	2260
755	6974	2251
756	6982	2241
757	6992	2232
758	7002	2223
759	7013	2214
760	7023	2205
761	7033	2196
762	7042	2187
763	7051	2178
764	7060	2168
765	7070	2159
766	7079	2150
767	7089	2141
768	7099	2132
769	7108	2123
770	7117	2113
771	7126	2104
772	7135	2095
773	7144	2086
774	7153	2076
775	7161	2067
776	7170	2057
777	7178	2048
778	7188	2039
779	7198	2030
780	7207	2021
781	7213	2011
782	7222	2001
783	7232	1992
784	7240	1982
785	7250	1974
786	7260	1965
787	7269	1955
788	7278	1946
789	7287	1937
790	7297	1928
791	7306	1918
792	7315	1909
793	7325	1900
794	7334	1891
795	7343	1881
796	7353	1872
797	7361	1863
798	7370	1854
799	7380	1845
800	7389	1835
801	7398	1826
802	7408	1817
803	7418	1808
804	7427	1799
805	7437	1790
806	7446	1780
807	7455	1771
808	7465	1762
809	7474	1753
810	7482	1743
811	7491	1734
812	7500	1725
813	7511	1716
814	7519	1706
815	7529	1697
816	7538	1688
817	7547	1679
818	7556	1669
819	7565	1660
820	7574	1651
821	7583	1642
822	7592	1632
823	7603	1624
824	7613	1615
825	7624	1606
826	7633	1596
827	7641	1587
828	7650	1578
829	7658	1568
830	7668	1559
831	7676	1550
832	7686	1541
833	7695	1531
834	7706	1522
835	7715	1513
836	7725	1504
837	7735	1495
838	7745	1486
839	7755	1477
840	7764	1467
841	7770	1458
842	7778	1448
843	7787	1439
844	7798	1430
845	7806	1421
846	7816	1411
847	7824	1402
848	7834	1393
849	7845	1384
850	7855	1375
851	7865	1366
852	7874	1357
853	7883	1347
854	7894	1338
855	7902	1329
856	7911	1320
857	7919	1310
858	7928	1301
859	7939	1292
860	7948	1283
861	7956	1273
862	7965	1264
863	7975	1255
864	7984	1246
865	7994	1237
866	8004	1227
867	8012	1218
868	8022	1209
869	8029	1199
870	8038	1190
871	8048	1181
872	8056	1172
873	8066	1162
874	8075	1153
875	8084	1144
876	8093	1135
877	8101	1125
878	8111	1116
879	8120	1107
880	8128	1097
881	8136	1088
882	8145	1079
883	8155	1070
884	8165	1061
885	8175	1051
886	8184	1042
887	8193	1033
888	8203	1024
889	8212	1015
890	8222	1005
891	8229	996
892	8239	987
893	8249	978
894	8258	968
895	8267	959
896	8277	950
897	8286	941
898	8293	931
899	8303	922
900	8312	913
901	8322	904
902	8332	895
903	8340	885
904	8350	876
905	8360	867
906	8369	858
907	8378	848
908	8387	839
909	8396	830
910	8406	821
911	8416	812
912	8426	802
913	8435	793
914	8444	784
915	8453	775
916	8461	765
917	8470	756
918	8480	747
919	8489	738
920	8498	728
921	8507	719
922	8517	710
923	8526	701
924	8536	692
925	8545	682
926	8553	673
927	8563	664
928	8573	655
929	8582	645
930	8591	636
931	8601	627
932	8610	618
933	8620	609
934	8630	599
935	8638	590
936	8648	581
937	8658	572
938	8666	563
939	8678	553
940	8688	544
941	8697	535
942	8706	526
943	8716	517
944	8727	507
945	8736	498
946	8746	489
947	8755	480
948	8765	471
949	8774	461
950	8784	452
951	8793	443
952	8803	434
953	8812	424
954	8822	415
955	8831	406
956	8840	397
957	8849	387
958	8858	378
959	8867	369
960	8877	360
961	8886	351
962	8896	341
963	8906	332
964	8915	323
965	8925	314
966	8934	304
967	8945	295
968	8956	286
969	8966	277
970	8975	268
971	8985	258
972	8994	249
973	9004	240
974	9013	231
975	9021	221
976	9030	212
977	9040	203
978	9049	194
979	9057	184
980	9066	175
981	9076	166
982	9086	157
983	9095	147
984	9104	138
985	9113	129
986	9124	120
987	9133	110
988	9142	101
989	9151	92
990	9160	83
991	9170	73
992	9179	64
993	9188	55
994	9198	46
995	9208	36
996	9218	27
997	9226	18
998	9237	9
999	9246	0
